-77,8,1023,-48,-44,-187,Still
-69,-55,1023,2,-16,-269,Still
-46,-148,1027,-32,-6,-288,Still
-65,-176,1008,-33,13,-161,Still
35,-250,1008,-34,37,-60,Still
-108,-109,1008,64,126,163,Still
-108,-113,1027,-8,14,101,Still
-120,-59,1020,-3,8,41,Still
-116,-121,1008,-24,-2,-9,Still
-77,-117,1016,35,-13,13,Still
-85,-125,1016,21,42,76,Still
-120,-98,1020,-27,67,67,Still
-151,-109,1016,11,26,70,Still
-175,-109,996,4,41,67,Still
-175,-109,1004,-6,7,78,Still
-202,-43,1016,0,1,-3,Still
-171,-86,1008,-2,-92,-94,Still
-132,-117,1027,41,-104,-81,Still
-155,-90,973,126,-121,-74,Still
-128,-199,996,0,-78,-99,Still
-93,-121,1023,-34,-85,37,Still
-108,-23,1012,-25,-94,-35,Still
-108,-62,1020,-34,-94,-114,Still
-85,-113,1023,8,-25,-168,Still
-96,-117,1008,15,-21,-182,Still
-77,-152,1020,-64,35,-159,Still
-89,-109,1043,66,5,0,Still
-30,-98,1016,32,-88,-95,Still
-34,-144,992,27,-151,-101,Still
-8,-180,1047,73,-53,86,Still
20,-98,1066,-14,63,-6,Still
-73,-129,1016,22,117,80,Still
-77,-144,1008,7,15,41,Still
-57,-117,1012,-6,37,33,Still
-96,-102,1012,5,25,46,Still
-96,-117,1043,-11,69,5,Still
-124,-121,1027,-70,125,-6,Still
-132,-152,1008,11,106,-29,Still
-100,-160,1004,171,27,30,Still
-143,-109,1031,146,-31,117,Still
-108,-125,1051,42,-151,188,Still
-96,-55,1012,24,-170,271,Still
-136,38,1047,59,-39,176,Still
-136,8,992,-149,-32,-212,Still
-81,-102,1020,41,-4,-136,Still
-1085,1136,-1104,-8851,-4855,-2337,Shake
-585,-98,-1565,12949,4058,1463,Shake
801,-1977,1266,793,2695,2501,Shake
629,-1480,-409,-9158,-4851,-1686,Shake
-2011,2019,-261,-346,-1077,28,Shake
-65,-1598,-1249,12845,4642,2160,Shake
653,-1789,602,-8774,-4434,-468,Shake
-1788,2019,-46,30,-1178,-328,Shake
824,-1977,67,8849,5583,2794,Shake
98,-1750,-190,-10073,-4529,-301,Shake
-1585,2019,-81,3540,745,-64,Shake
641,-1977,-421,11460,6148,2542,Shake
567,-1492,172,-8484,-4616,-727,Shake
-2011,2019,103,-1971,-1690,-443,Shake
446,-1977,-659,11348,6004,2590,Shake
649,-1801,67,-8926,-4748,-657,Shake
-1792,2019,172,-2896,-2039,-525,Shake
219,-1977,-979,12661,5867,2280,Shake
1094,-1977,-89,-8422,-6171,-1246,Shake
-1901,2019,-155,3702,794,-508,Shake
1028,-1977,590,6996,5201,3206,Shake
117,-1105,-1046,-8827,-6460,-2367,Shake
-1780,1589,-433,6265,2110,280,Shake
934,-1977,1063,4,3636,2919,Shake
-81,-297,-1069,-8273,-6115,-1302,Shake
-1315,815,-854,10973,3010,490,Shake
598,-1977,957,-6395,184,1801,Shake
-901,1034,-936,-8149,-4703,-207,Shake
-1034,101,-1081,14068,4367,1235,Shake
258,-1977,438,-9884,-2750,-108,Shake
-1550,2019,-304,-6699,-3728,-47,Shake
828,-1977,-1761,15208,6232,2833,Shake
180,-1660,-1257,-8481,-6303,-2755,Shake
-1534,2019,-85,6366,2305,274,Shake
973,-1977,500,-1163,2324,2887,Shake
-1214,30,-1894,-9688,-4845,-2255,Shake
-792,34,-1198,13752,4541,1645,Shake
567,-1977,731,-6646,-3616,-577,Shake
-1811,2019,-159,-6657,-2892,339,Shake
309,-1977,-1894,15469,6547,2482,Shake
555,-1676,-167,-10246,-4828,-1818,Shake
-1741,2019,-296,2712,-434,330,Shake
1227,-1977,152,7867,5484,2782,Shake
-647,-848,-1058,-9648,-5110,-1695,Shake
-932,390,-683,12373,4705,1610,Shake
